#survey	data_release	source_name	schema_key
GALAH	Data Release 3	151219002601204	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802378	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802384	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107001802396	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150112002501083	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150112002501138	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150428003102264	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150112002501282	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	160524002101108	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	160524002101125	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	160524002101163	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107003601258	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170107003601268	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	161211003101284	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	161211003901024	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150103002701157	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	161211003901223	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	161211003901280	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	161211003901342	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150103002701345	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	161211003901386	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170906003601002	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170906003601008	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150103003001021	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151219004601064	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170906003601081	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170906003601178	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	160328000101161	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	160328000101166	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	160129004701016	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150103003001282	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150103003001292	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170910005601008	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170910005601021	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170910005601083	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170910005601086	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150103003001399	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150412006101080	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150703002601097	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170910005601385	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150703002601186	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	160129004701355	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170108002701374	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151230001601049	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	171027002201195	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170906004101017	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170906004101021	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150209004501228	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170906004101099	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151230001601259	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	171227003101096	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151230001601274	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	171227003101191	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170906004101176	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	171027002801041	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	171027002801064	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170906004101247	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151230002201047	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151230002201078	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150703003101025	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	171027002801175	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170108004601041	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170108004601070	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151230002201137	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	171027002801255	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170118003301063	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170906004101370	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	171027002801371	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	171027002801397	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170108004601329	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151230002201289	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151230002201337	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	151230002201354	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	171027003301258	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170508001601263	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	170508001601268	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	150604003401054	galah.dr3.spectra.hermes.spectrum_1d
